LineCode,LineText,Comment
line:675d661a,"A: Hey, io sono un personaggio in uno script!",
line:cde582fb,B: E io sono troppo! Stai parlando con me!,
line:fa2e1356,Cosa sta succedendo,
line:6c0fb745,um ok,
line:38b2353e,A: Perché si tratta di una demo del sistema di script!,
line:31ad4160,B: E tu sei dentro!,
line:036fb4f1,A: Come delizioso!,
line:d35a9665,B: Che cosa si preferisce fare dopo?,
line:e6cebba9,Partire,
line:30ee1a0e,Per saperne di più,
line:1971e104,"A: Oh, addio!",
line:39d35a39,B: Si Torno presto!,
line:a2d211b5,A: HAHAHA,